GEN;ID;FITNESS;GAINFITNESS;SURVIVAL;ORIGINE
0;1;13.4;0;1;0
0;2;12.587;0;1;0
0;3;14.898;0;1;0
0;4;12.209;0;2;0
0;5;10.407;0;3;0
0;6;12.826;0;2;0
0;7;12.951;0;1;0
0;8;11.579;0;2;0
0;9;11.905;0;2;0
0;10;14.076;0;1;0
0;11;11.329;0;2;0
0;12;15.254;0;1;0
0;13;14.137;0;1;0
0;14;13.58;0;1;0
0;15;14.727;0;1;0
0;16;11.785;0;2;0
0;17;14.908;0;1;0
0;18;13.221;0;1;0
0;19;12.347;0;2;0
0;20;14.238;0;1;0
0;21;13.878;0;1;0
0;22;15.309;0;1;0
0;23;12.487;0;2;0
0;24;14.317;0;1;0
0;25;11.578;0;2;0
0;26;14.334;0;1;0
0;27;13.281;0;2;0
0;28;14.64;0;1;0
0;29;14.004;0;1;0
0;30;17.141;0;1;0
0;31;13.55;0;1;0
0;32;12.836;0;2;0
0;33;12.391;0;1;0
0;34;15.457;0;1;0
0;35;14.962;0;1;0
0;36;14.401;0;1;0
0;37;13.067;0;2;0
0;38;15.568;0;1;0
0;39;14.158;0;1;0
0;40;13.125;0;2;0
1;41;14.034;2.049;0;3
1;42;12.175;0.118;1;2
1;43;11.329;0;1;4
1;44;10.558;-0.896;2;3
1;45;11.785;0;1;4
1;46;13.392;1.939;0;3
1;47;10.407;0;2;1
1;48;13.448;1.241;0;2
1;49;11.578;0;2;1
1;50;13.456;1.551;1;1
1;51;14.204;2.138;0;3
1;52;11.329;0;1;1
1;53;13.4;0;1;4
1;54;10.407;0;0;4
1;55;13.349;2.481;0;3
1;56;12.946;0.864;1;2
1;57;10.319;-0.088;0;1
1;58;13.62;2.166;0;2
1;59;14.606;2.768;0;3
1;60;12.596;0.032;0;2
1;61;13.238;0.932;1;3
1;62;10.407;0;3;4
1;63;12.601;0.175;1;2
1;64;10.026;-0.967;3;3
1;65;10.327;-0.541;2;2
1;66;11.578;0;2;4
1;67;10.407;0;2;4
1;68;14.701;2.807;0;2
1;69;11.012;0.606;2;3
1;70;13.755;2.762;0;3
1;71;12.487;0;1;4
1;72;11.785;0;2;4
1;73;11.136;0.73;2;1
1;74;10.407;0;2;4
1;75;11.329;0;1;2
1;76;13.409;2.253;1;3
1;77;13.805;2.036;0;2
1;78;12.836;0;0;4
1;79;11.329;0;1;4
1;80;11.329;0;1;2
2;81;10.729;0.513;1;2
2;82;12.303;1.625;0;2
2;83;10.407;0;2;3
2;84;10.558;0;1;3
2;85;10.407;0;1;1
2;86;11.205;-0.124;1;1
2;87;10.327;0;1;2
2;88;10.556;0.149;1;1
2;89;10.083;-0.324;3;1
2;90;10.179;0.153;2;1
2;91;10.026;0;3;4
2;92;11.886;1.479;0;3
2;93;12.321;1.954;0;2
2;94;10.407;0;1;2
2;95;11.329;0;0;1
2;96;10.407;0;1;4
2;97;13.376;2.529;0;2
2;98;9.871;-0.155;3;1
2;99;10.089;-0.317;3;1
2;100;10.143;-0.263;2;1
2;101;11.917;1.551;0;3
2;102;10.327;0;2;4
2;103;10.208;-0.198;1;1
2;104;13.244;2.376;0;2
2;105;10.174;0.149;2;1
2;106;11.74;0.508;0;3
2;107;13.963;3.286;0;3
2;108;10.104;-0.072;2;3
2;109;10.407;0;1;2
2;110;9.455;-0.57;3;1
2;111;12.653;2.171;0;3
2;112;12.9;2.169;0;3
2;113;10.327;0;1;2
2;114;13.242;2.415;0;3
2;115;11.644;0.066;0;1
2;116;10.694;0.287;1;1
2;117;10.407;0;1;1
2;118;10.327;0;2;1
2;119;10.327;0;1;1
2;120;9.634;-0.582;3;3
3;121;10.543;0.518;0;1
3;122;10.104;0;1;1
3;123;11.83;1.805;0;3
3;124;10.16;0.419;1;2
3;125;10.772;0.955;0;3
3;126;10.089;0;1;4
3;127;10.143;0;0;3
3;128;8.787;-1.044;4;2
3;129;9.323;-0.507;2;3
3;130;9.455;0;3;1
3;131;10.026;0;1;2
3;132;10.285;0.26;1;3
3;133;10.033;0.053;1;2
3;134;9.871;0;1;1
3;135;10.026;0;1;4
3;136;9.871;0;0;4
3;137;9.718;-0.441;2;2
3;138;10.107;0.563;0;3
3;139;11.028;0.924;0;3
3;140;9.634;0;2;4
3;141;12.517;2.537;0;3
3;142;10.332;0.426;0;3
3;143;9.455;0;3;4
3;144;10.779;0.721;0;2
3;145;11.419;1.438;0;3
3;146;10.104;0;0;2
3;147;10.566;0.508;0;2
3;148;10.104;0;1;2
3;149;9.904;0.074;1;3
3;150;10.407;0;0;2
3;151;10.327;0;0;1
3;152;9.455;0;2;1
3;153;10.026;0;2;4
3;154;9.707;-0.033;1;2
3;155;9.634;0;1;2
3;156;9.634;0;2;3
3;157;9.9;-0.182;1;1
3;158;9.892;0.229;1;2
