GEN;ID;FITNESS;GAINFITNESS;SURVIVAL;ORIGINE
0;36;11.43;0;3;0
0;37;11.925;0;3;0
1;64;10.518;-0.912;3;1
3;149;10.053;-0.465;4;1
4;171;10.053;0;4;2
4;172;10.053;0;4;2
5;202;10.163;0.11;1;1
5;222;9.306;-0.747;3;1
5;226;10.053;0;3;2
6;244;9.293;-0.761;4;1
6;250;9.306;0;4;4
6;258;9.306;0;3;1
6;265;10.053;0;1;3
6;267;9.306;0;3;4
7;288;9.293;0;3;1
7;300;9.205;-0.468;3;2
7;306;9.306;0;1;2
7;313;9.254;-0.052;4;1
8;328;9.293;0;2;2
8;341;9.293;0;2;3
8;346;9.286;-0.007;2;1
8;348;8.968;-0.281;4;2
8;349;9.293;0;2;1
8;355;9.008;-0.285;4;3
8;356;9.254;0;1;1
8;360;9.192;-0.064;2;2
9;381;9.105;-0.185;3;2
9;387;8.9;-0.37;2;3
9;388;9.112;-0.137;2;2
9;390;8.968;0;3;2
9;391;9.192;0;2;4
9;395;8.968;0;3;4
10;402;8.532;-0.471;3;2
10;404;8.968;0;1;2
10;410;8.588;-0.448;2;2
10;415;8.609;-0.397;2;2
10;420;8.63;-0.47;3;2
10;430;8.968;0;2;3
11;445;8.422;-0.197;2;2
11;467;8.446;-0.332;3;3
11;475;7.842;-1.126;6;1
12;494;7.842;0;3;3
12;498;8.126;-0.351;2;2
12;515;7.842;0;5;1
12;518;7.842;0;4;1
13;530;7.842;0;4;3
13;533;7.842;0;4;2
13;541;7.842;0;2;2
13;546;7.842;0;3;2
14;566;7.842;0;1;1
14;586;7.842;0;3;3
14;588;7.842;0;1;2
14;594;7.795;-0.047;4;1
15;610;7.795;0;3;3
15;613;7.462;-0.356;4;3
15;622;7.842;0;1;3
16;642;7.367;-0.285;4;3
16;646;7.763;-0.055;2;3
16;654;7.462;0;3;1
16;670;7.744;0.115;2;2
16;675;7.795;0;2;1
17;696;7.208;-0.561;5;2
17;705;7.462;0;1;3
17;712;7.367;0;2;1
18;722;7.203;-0.084;4;2
18;724;7.208;0;3;3
18;735;7.208;0;2;2
18;742;7.263;-0.072;3;3
19;769;6.825;-0.381;4;2
19;771;7.203;0;2;1
19;780;7.208;0;1;3
19;785;7.075;-0.161;2;2
20;819;6.294;-0.848;5;3
21;858;6.294;0;5;2
21;870;6.426;-0.134;3;2
22;901;6.294;0;2;3
22;918;6.294;0;4;4
23;922;6.294;0;2;3
23;923;6.289;-0.07;4;3
24;973;6.277;-0.012;3;3
24;990;6.212;-0.079;2;2
25;1023;5.75;-0.494;4;3
25;1027;6.277;0;1;2
26;1052;5.662;-0.352;3;2
26;1071;5.627;-0.123;3;1
26;1074;5.75;0;3;3
27;1081;5.627;0;3;1
27;1089;5.557;-0.149;3;2
28;1135;5.557;0;7;2
28;1142;5.557;0;3;2
28;1148;5.557;0;3;2
28;1149;5.557;0;4;1
28;1154;5.557;0;4;4
29;1165;5.557;0;3;3
29;1166;5.557;0;5;1
29;1174;5.557;0;5;4
29;1179;5.557;0;3;2
30;1221;5.557;0;4;1
31;1246;5.557;0;4;1
32;1305;5.557;0;2;4
32;1306;5.557;0;1;2
33;1330;5.552;-0.005;3;1
34;1364;5.552;0;2;2
34;1366;5.557;0;1;2
34;1367;5.443;-0.111;3;2
34;1372;5.397;-0.158;4;2
34;1378;5.456;-0.099;3;2
35;1419;5.391;-0.029;3;3
35;1422;5.248;-0.307;4;3
35;1424;5.418;-0.086;4;3
36;1447;5.204;-0.219;4;2
36;1450;5.248;0;2;2
36;1462;5.247;-0.086;2;2
37;1489;5.204;0;4;1
37;1494;5.247;0;2;1
37;1495;5.086;-0.161;7;3
37;1501;5.159;-0.067;3;2
37;1503;5.204;0;3;1
38;1541;5.159;0;3;1
38;1545;5.103;-0.078;4;3
38;1548;5.149;-0.076;3;2
39;1577;5.086;0;6;1
39;1580;5.086;0;3;1
40;1614;5.086;0;4;3
40;1619;5.086;0;5;1
40;1624;5.086;0;2;1
40;1630;5.086;0;5;3
40;1631;5.086;0;5;3
40;1636;5.086;0;2;1
41;1653;5.086;0;1;3
41;1657;5.086;0;2;2
41;1667;5.086;0;5;3
41;1668;5.086;0;1;3
41;1671;5.086;0;2;2
41;1673;5.086;0;8;2
42;1681;5.086;0;6;2
42;1689;5.086;0;2;3
42;1702;5.086;0;2;2
42;1713;5.086;0;1;2
42;1716;5.086;0;1;3
43;1747;5.086;0;3;1
44;1768;5.086;0;2;1
44;1781;5.086;0;4;2
44;1794;5.086;0;1;3
45;1801;5.086;0;2;3
45;1824;5.086;0;1;2
46;1871;5.019;-0.068;4;3
47;1883;5.019;0;3;3
47;1905;5.019;0;3;2
48;1935;5.019;0;2;1
48;1952;4.849;-0.17;4;3
49;1981;4.849;0;6;3
49;1985;4.849;0;5;1
50;2001;4.849;0;2;3
50;2010;4.849;0;8;1
50;2014;4.849;0;5;2
50;2021;4.849;0;4;2
50;2024;4.849;0;2;2
50;2025;4.849;0;2;2
50;2033;4.849;0;2;3
50;2035;4.849;0;2;4
51;2043;4.849;0;4;3
51;2044;4.849;0;7;2
51;2045;4.849;0;2;3
51;2050;4.849;0;3;3
51;2053;4.849;0;4;1
51;2055;4.849;0;6;2
51;2058;4.849;0;9;1
51;2060;4.849;0;2;2
51;2061;4.849;0;2;3
51;2069;4.849;0;2;1
51;2070;4.849;0;1;3
51;2071;4.849;0;2;3
51;2075;4.849;0;7;2
51;2079;4.849;0;2;3
52;2085;4.849;0;3;3
52;2086;4.849;0;8;2
52;2104;4.849;0;4;3
52;2112;4.849;0;4;1
52;2113;4.849;0;3;1
52;2115;4.849;0;3;4
53;2126;4.849;0;1;3
53;2137;4.849;0;5;3
53;2141;4.849;0;2;2
53;2153;4.849;0;3;3
53;2156;4.849;0;7;3
54;2163;4.849;0;2;2
54;2167;4.849;0;2;2
54;2170;4.849;0;2;3
54;2185;4.849;0;6;2
54;2196;4.849;0;3;1
55;2224;4.849;0;4;3
55;2225;4.849;0;3;3
55;2228;4.849;0;1;2
55;2238;4.849;0;2;1
56;2244;4.849;0;1;2
56;2245;4.849;0;4;1
56;2273;4.849;0;1;2
57;2291;4.655;-0.194;8;3
57;2293;4.849;0;3;1
